ISO	Country	Year	GPI	offrel	formrelat	GNI	dogint	groupvalue	GPIlog	offrellog	dogintlog	GNIlog
"JOR"	"Jordan"	2014.0	2011.0	1.0	11.0	3.406971880197E10	6.0	2.0	7.60638738977265	0.0	1.79175946922805	24.2516748150475
"KAZ"	"Kazakhstan"	2014.0	2.17	0.0	6.0	2.08947034276036E11	9.0	2.0	0.774727167552368	1.0	2.19722457733622	26.0653466322772
"KWT"	"Kuwait"	2014.0	1735.0	1.0	12.0	1.88256879404685E11	6.0	4.0	7.45876269238096	0.0	1.79175946922805	25.9610732469411
"LBN"	"Lebanon"	2014.0	2757.0	0.0	6.0	4.64388882537537E10	7.0	2.0	7.9218984110238	1.0	1.94591014905531	24.5614030540786
"LBY"	"Libya"	2014.0	2498.0	1.0	10.0	4.84104708486689E10	4.0	2.0	7.82324569068552	0.0	1.38629436111989	24.6029819671194
"LTU"	"Lithuania"	2014.0	1756.0	0.0	7.0	4.69834811578647E10	10.0	2.0	7.47079377419506	1.0	2.30258509299405	24.573061912152
"MYS"	"Malaysia"	2014.0	1593.0	1.0	12.0	3.3269527954227E11	6.0	2.0	7.37337430991005	0.0	1.79175946922805	26.5304928315392
"MEX"	"Mexico"	2014.0	2591.0	0.0	3.0	1.26948387743394E12	10.0	2.0	7.85979918056211	1.0	2.30258509299405	27.8696315380766
"MAR"	"Morocco"	2014.0	2.06	1.0	11.0	1.06249737781302E11	6.0	2.0	0.72270598280149	0.0	1.79175946922805	25.3890581768072
"NGA"	"Nigeria"	2014.0	2.88	0.0	6.0	5.26651701718765E11	4.0	2.0	1.05779029414785	1.0	1.38629436111989	26.9898052594376
"PAK"	"Pakistan"	2014.0	3122.0	1.0	12.0	2.58375333595839E11	3.0	2.0	8.04622910107538	0.0	1.09861228866811	26.277679146078
"PER"	"Peru"	2014.0	2212.0	0.0	9.0	1.96467692597629E11	9.0	2.0	7.70165236264223	1.0	2.19722457733622	26.0037638404768
"PHL"	"Philippines"	2014.0	2508.0	0.0	6.0	3.47241837300632E11	7.0	2.0	7.82724090175281	1.0	1.94591014905531	26.5732873116109
"POL"	"Poland"	2014.0	1563.0	0.0	8.0	5.19915284736183E11	9.0	2.0	7.35436233042148	1.0	2.19722457733622	26.9769317212811
"QAT"	"Qatar"	2014.0	1681.0	1.0	12.0	1.96492544368135E11	5.0	4.0	7.42714413340862	0.0	1.6094379124341	26.003890325389
"ROU"	"Romania"	2014.0	1673.0	0.0	8.0	1.91193490058069E11	9.0	2.0	7.42237370098682	1.0	2.19722457733622	25.9765517891706
"RWA"	"Rwanda"	2014.0	2.44	0.0	3.0	7.99807878489054E9	10.0	1.0	0.89199803930511	1.0	2.30258509299405	22.8024671978965
"SGP"	"Singapore"	2014.0	1559.0	0.0	4.0	3.08340050356284E11	10.0	3.0	7.35179986905778	1.0	2.30258509299405	26.4544690704927
"SVN"	"Slovenia"	2014.0	1444.0	0.0	6.0	4.85424608854099E10	9.0	3.0	7.27517231945277	1.0	2.19722457733622	24.6057047340523
"ZAF"	"South Africa"	2014.0	2393.0	0.0	4.0	3.68462492692823E11	9.0	2.0	7.78030308790837	1.0	2.19722457733622	26.6326047596582
"THA"	"Thailand"	2014.0	2443.0	0.0	8.0	3.94295923559624E11	6.0	2.0	7.80098207125774	1.0	1.79175946922805	26.7003675393531
